job_level,job_duration_in_current_job_level,person_level,job_duration_in_current_person_level,job_duration_in_current_branch,Employee_type,Employee_status,gender,age,marital_status_maried(Y/N),number_of_dependences,number_of_dependences (male),number_of_dependences (female),Education_level,GPA,year_graduated,job_duration_as_permanent_worker,job_duration_from_training,branch_rotation,job_rotation,assign_of_otherposition,annual leave,sick_leaves,Best Performance,Avg_achievement_%,Last_achievement_%,Achievement_above_100%_during3quartal,achievement_target_1,achievement_target_2,achievement_target_3
JG05,8.0,PG06,8.0,0.5,RM_type_A,Permanent,Female,1964,Y,3,1,2,level_4,2.32,1987,30.0,30,9,7,0,8,0,0,68.85,72.53,0.0,achiev_50%-100%,achiev_< 50%,reached
JG04,5.17,PG04,2.0,1.25,RM_type_A,Permanent,Male,1979,Y,3,2,1,level_4,3.25,2001,15.0,16,7,7,9,3,0,0,94.81,101.13,3.0,achiev_50%-100%,achiev_50%-100%,reached
JG04,1.83,PG03,1.83,1.5,RM_type_A,Permanent,Male,1980,Y,1,0,1,level_5,3.23,2007,15.0,15,9,9,0,6,0,0,72.82,71.3,0.0,achiev_100%-150%,achiev_< 50%,not_reached
JG04,7.92,PG04,4.0,0.17,RM_type_A,Permanent,Male,1984,Y,0,0,0,level_3,0.0,2006,8.0,8,5,5,0,3,0,0,86.89,90.09,2.0,achiev_50%-100%,achiev_50%-100%,not_reached
JG04,1.83,PG03,1.83,2.08,RM_type_A,Permanent,Male,1984,Y,1,0,1,,,,7.0,7,4,6,11,2,1,1,95.17,100.72,2.0,achiev_< 50%,achiev_> 1.5,not_reached
JG04,1.75,PG03,1.75,6.25,RM_type_C,Permanent,Male,1984,Y,2,2,0,,,,6.0,6,1,4,14,12,0,1,89.30333333333333,87.16,2.0,achiev_100%-150%,achiev_< 50%,reached
JG04,1.75,PG03,1.75,1.33,RM_type_B,Permanent,Female,1986,N,0,0,0,level_4,3.65,2008,6.0,6,7,5,0,0,2,1,66.81666666666666,70.43,0.0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.75,PG03,1.75,5.92,RM_type_A,Permanent,Male,1984,Y,0,0,0,,,,6.0,6,1,4,4,10,0,0,86.0,81.32,2.0,achiev_50%-100%,achiev_< 50%,reached
JG04,2.42,PG03,2.42,1.5,RM_type_A,Permanent,Male,1987,Y,1,1,0,level_3,2.84,2008,6.0,6,3,2,1,8,5,0,110.43,101.79,3.0,achiev_50%-100%,achiev_100%-150%,not_reached
JG04,1.75,PG03,1.75,1.5,RM_type_C,Permanent,Male,1988,Y,0,0,0,level_4,3.23,2011,5.0,5,3,3,2,5,1,0,92.12666666666667,92.57,3.0,achiev_50%-100%,achiev_50%-100%,not_reached
JG04,1.75,PG03,1.75,0.67,RM_type_B,Permanent,Male,1986,Y,2,0,2,,,,5.0,5,3,2,1,8,0,0,105.88,111.04,3.0,achiev_50%-100%,achiev_> 1.5,not_reached
JG04,1.42,PG03,1.42,0.0,RM_type_B,Permanent,Male,1983,Y,0,0,0,,,,5.0,5,3,5,0,0,1,0,76.04666666666667,79.96,0.0,achiev_50%-100%,achiev_< 50%,not_reached
